,Year,country code,Continent,CPI,date,depth,mag,mmi,Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, total",Rural population,Rural population (% of total population),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),country,Total Affected
0,1960,CHL,Americas,11.42725138,1960-05-22,25.0,9.5,8.842,..,..,1979927,35.8871355101073,8132988,2615894,32.164,5517094,67.836,..,27084687058.6456,4110000000,..,3330.22587253855,Chile,2003000.0
1,1960,CHL,Americas,11.42725138,1960-05-22,25.0,7.8,7.274,..,..,1979927,35.8871355101073,8132988,2615894,32.164,5517094,67.836,..,27084687058.6456,4110000000,..,3330.22587253855,Chile,2003000.0
2,1960,CHL,Americas,11.42725138,1960-05-22,25.0,6.8,6.925,..,..,1979927,35.8871355101073,8132988,2615894,32.164,5517094,67.836,..,27084687058.6456,4110000000,..,3330.22587253855,Chile,2003000.0
3,1960,CHL,Americas,11.42725138,1960-05-22,25.0,7.1,7.112,..,..,1979927,35.8871355101073,8132988,2615894,32.164,5517094,67.836,..,27084687058.6456,4110000000,..,3330.22587253855,Chile,2003000.0
4,1960,CHL,Americas,11.42725138,1960-05-22,25.0,5.8,5.841,..,..,1979927,35.8871355101073,8132988,2615894,32.164,5517094,67.836,..,27084687058.6456,4110000000,..,3330.22587253855,Chile,2003000.0
5,1962,ALB,Europe,11.68805955,1962-03-18,26.4,6.1,6.858,62.456897810219,3.05673050279088,139561,26.2942615013019,1711319,1180553,68.985,530766,31.015,3.28920702183149,..,..,..,..,Albania,154.0
6,1962,COL,Americas,11.68805955,1962-07-30,64.0,6.5,6.329,15.405965750338,3.12022055373643,1458970,17.3687463043036,17092919,8692946,50.857,8399973,49.143,6.09632814339707,33904535097.0798,4955543963.36869,5.41188961407728,1983.54272298838,Colombia,300.0
7,1965,CHL,Americas,12.17425308,1965-03-28,70.0,7.4,7.291,12.0904103656601,1.88369669234345,2293532,35.585178339999,8989607,2544418,28.304,6445189,71.696,2.92261427430258,32493412377.2223,6026593750,0.950272505266042,3614.55315868895,Chile,20350.0
8,1966,CHL,Americas,12.5413205,1966-12-28,25.0,7.7,7.252000000000001,12.3099584147017,1.79959553988376,2359661,35.5953184224845,9152848,2523715,27.573,6629133,72.427,2.81400653965964,36144450973.1831,7072641025.64103,11.2362424530091,3948.9840728463,Chile,3006.0
9,1966,GRC,Europe,12.5413205,1966-02-05,10.0,6.2,6.7010000000000005,66.8242901474011,0.73780408125038,2189416,41.7832105775217,8613651,3373709,39.167,5239942,60.833,2.16826623366718,68714504968.9523,8591517943.60129,6.49450234707547,7977.39599258808,Greece,11050.0
10,1967,ALB,Europe,12.88906472,1967-11-30,20.0,6.7,6.82,71.7371532846715,2.63019034549493,149178,24.1902294032467,1965598,1348911,68.626,616687,31.374,2.85992943694977,..,..,..,..,Albania,134.0
11,1967,COL,Americas,12.88906472,1967-02-09,55.0,7.0,8.891,17.879682739973,2.85199967223421,2000310,18.5521683103504,19837508,9055426,45.648,10782082,54.352,4.26948801736445,42209952163.6794,5825170438.48704,4.13486416558872,2127.78501027848,Colombia,40200.0
12,1967,GRC,Europe,12.88906472,1967-05-01,25.0,6.2,6.275,67.3707370054306,0.814411517253211,2259735,42.1804748323829,8684088,3326787,38.309,5357301,61.691,2.2149873915943,72610263841.6928,9275600800.35644,5.66948546671586,8361.29986726214,Greece,16583.0
13,1969,ETH,Africa,14.17378236,1969-03-29,10.0,6.1,7.78,25.1159990917348,2.59489508627911,695267,29.8537256882184,27652715,25323803,91.578,2328912,8.422,4.53719676458689,..,..,..,..,Ethiopia,585.0
14,1969,ETH,Africa,14.17378236,1969-03-29,10.0,6.2,7.845,25.1159990917348,2.59489508627911,695267,29.8537256882184,27652715,25323803,91.578,2328912,8.422,4.53719676458689,..,..,..,..,Ethiopia,585.0
15,1969,IDN,Asia,14.17378236,1969-02-23,15.0,7.0,7.487,61.6915526311432,2.70140700773418,3783069,20.1382428157211,111758566,92973069,83.191,18785497,16.809,4.26028286147839,71794859870.4322,8337423312.88344,6.82229824913614,642.41035331853,Indonesia,6532.0
16,1971,CHL,Americas,15.6452573,1971-07-09,60.3,7.8,8.462,13.3722771851111,1.61803401706321,2738346,36.2943318412301,9942716,2397885,24.117,7544831,75.883,2.48628164396328,44931169627.1423,10884114754.0984,9.42268621200233,4519.00362306862,Chile,2348973.0
17,1973,CRI,Americas,17.15536031,1973-04-14,33.0,6.5,6.402,39.0231492361927,2.45660222520312,409364,50.5350220971286,1992522,1182462,59.345,810060,40.655,3.9110110179331,10673498041.7255,1528916185.23199,7.70891581236417,5356.77801384684,Costa Rica,3745.0
18,1976,AFG,Asia,21.98835663,1976-03-19,33.0,5.6,5.224,19.8252198021015,1.98138858740406,731385,40.1504492452011,12943093,11121482,85.926,1821611,14.074,5.10630157969629,..,2555555566.66667,..,..,Afghanistan,90000.0
